Year,Semester,Instructor,Gender,Class,Course Average*,Reading Score,Reading Progress
2019,Winter,B,Male,Freshman,0.84,0.55,0.95
2019,Winter,B,Male,Sophomore,0.95,0.84,1
2019,Winter,B,Male,Junior,0.96,0.84,1
2019,Winter,B,Male,Freshman,0.72,0.59,0.79
2019,Winter,B,Male,Freshman,0.79,0.5,0.88
2019,Winter,B,Male,Freshman,0.94,0.86,0.96
2019,Winter,B,Female,Freshman,0.92,0.8,0.96
2019,Winter,B,Male,Sophomore,0.9,0.82,0.93
2019,Winter,B,Male,Freshman,0.93,0.75,1
2019,Winter,B,Female,Sophomore,0.9,0.69,0.96
2019,Winter,B,Male,Freshman,0.96,0.87,1
2019,Winter,B,Male,Freshman,0.96,0.85,1
2019,Winter,B,Female,Freshman,0.69,0.49,0.77
2019,Winter,B,Male,Freshman,0.44,0.33,0.48
2019,Winter,B,Female,Freshman,0.89,0.66,0.96
2019,Winter,B,Male,Freshman,0.95,0.81,1
2019,Winter,B,Female,Junior,0.33,0.2,0.37
2019,Winter,B,Female,Freshman,0.97,0.9,1
2019,Winter,B,Male,Freshman,0.33,0.22,0.38
2019,Winter,B,Male,Sophomore,0.47,0.36,0.52
2019,Winter,B,Male,Freshman,0.94,0.87,0.97
2019,Winter,B,Female,Freshman,0.88,0.56,1
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Male,Sophomore,,,
2019,Winter,E,Male,Senior,,,
2019,Winter,E,Female,Freshman,,,
2019,Winter,E,Female,Freshman,,,
2019,Winter,E,Female,Freshman,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Female,Junior,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Female,Sophomore,,,
2019,Winter,E,Male,Sophomore,,,
2019,Winter,E,Female,Sophomore,,,
2019,Winter,E,Female,Freshman,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Female,Sophomore,,,
2019,Winter,E,Female,Sophomore,,,
2019,Winter,E,Female,Sophomore,,,
2019,Winter,E,Female,Sophomore,,,
2019,Winter,E,Female,Freshman,,,
2019,Winter,E,Female,Junior,,,
2019,Winter,E,Female,Junior,,,
2019,Winter,E,Male,Sophomore,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Female,Senior,,,
2019,Winter,E,Male,Sophomore,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Female,Freshman,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Female,Freshman,,,
2019,Winter,E,Female,Sophomore,,,
2019,Winter,E,Male,Sophomore,,,
2019,Winter,E,Female,Freshman,,,
2019,Winter,E,Male,Sophomore,,,
2019,Winter,E,Female,Freshman,,,
2019,Winter,E,Male,Senior,,,
2019,Winter,E,Male,Junior,,,
2019,Winter,E,Male,Junior,,,
2019,Winter,E,Female,Freshman,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Male,Sophomore,,,
2019,Winter,E,Male,Senior,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Female,Sophomore,,,
2019,Winter,E,Female,Freshman,,,
2019,Winter,E,Male,Sophomore,,,
2019,Winter,E,Female,Sophomore,,,
2019,Winter,E,Male,Sophomore,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Male,Senior,,,
2019,Winter,E,Female,Junior,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Male,Senior,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Male,Sophomore,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Female,Freshman,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Male,Sophomore,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Female,Sophomore,,,
2019,Winter,E,Female,Freshman,,,
2019,Winter,E,Female,Freshman,,,
2019,Winter,E,Female,Sophomore,,,
2019,Winter,E,Female,Sophomore,,,
2019,Winter,E,Female,Freshman,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Female,Sophomore,,,
2019,Winter,E,Male,Junior,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Male,Sophomore,,,
2019,Winter,E,Female,Freshman,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Female,Freshman,,,
2019,Winter,E,Female,Freshman,,,
2019,Winter,E,Female,Junior,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Male,Sophomore,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Female,Freshman,,,
2019,Winter,E,Female,Sophomore,,,
2019,Winter,E,Male,Junior,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Female,Freshman,,,
2019,Winter,E,Female,Freshman,,,
2019,Winter,E,Female,Freshman,,,
2019,Winter,E,Female,Freshman,,,
2019,Winter,E,Male,Sophomore,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Male,Non-Matriculating,,,
2019,Winter,E,Male,Non-Matriculating,,,
2019,Winter,E,Male,Sophomore,,,
2019,Winter,E,Male,Junior,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,E,Male,Freshman,,,
2019,Winter,A,Male,Junior,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Female,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Female,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Female,Freshman,,,
2019,Winter,A,Female,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Sophomore,,,
2019,Winter,A,Male,Junior,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Female,Junior,,,
2019,Winter,A,Male,Sophomore,,,
2019,Winter,A,Male,Sophomore,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Female,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Sophomore,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Female,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Sophomore,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Sophomore,,,
2019,Winter,A,Female,Sophomore,,,
2019,Winter,A,Female,Freshman,,,
2019,Winter,A,Female,Sophomore,,,
2019,Winter,A,Female,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Female,Sophomore,,,
2019,Winter,A,Female,Freshman,,,
2019,Winter,A,Female,Senior,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Female,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Female,Freshman,,,
2019,Winter,A,Female,Sophomore,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Senior,,,
2019,Winter,A,Female,Junior,,,
2019,Winter,A,Male,Sophomore,,,
2019,Winter,A,Female,Junior,,,
2019,Winter,A,Female,Sophomore,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Female,Senior,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Female,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Sophomore,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,A,Male,Freshman,,,
2019,Winter,D,Female,Junior,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Female,Junior,,,
2019,Winter,D,Male,Sophomore,,,
2019,Winter,D,Male,Junior,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Sophomore,,,
2019,Winter,D,Male,Junior,,,
2019,Winter,D,Male,Sophomore,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Senior,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Female,Freshman,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Female,Freshman,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Junior,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Sophomore,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Female,Freshman,,,
2019,Winter,D,Female,Sophomore,,,
2019,Winter,D,Male,Junior,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Female,Freshman,,,
2019,Winter,D,Female,Freshman,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Female,Junior,,,
2019,Winter,D,Male,Non-Matriculating,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Sophomore,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Senior,,,
2019,Winter,D,Male,Junior,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Sophomore,,,
2019,Winter,D,Female,Sophomore,,,
2019,Winter,D,Male,Junior,,,
2019,Winter,D,Male,Junior,,,
2019,Winter,D,Male,Junior,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Junior,,,
2019,Winter,D,Male,Sophomore,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Junior,,,
2019,Winter,D,Female,Sophomore,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Female,Senior,,,
2019,Winter,D,Female,Junior,,,
2019,Winter,D,Female,Junior,,,
2019,Winter,D,Male,Sophomore,,,
2019,Winter,D,Female,Sophomore,,,
2019,Winter,D,Male,Sophomore,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Sophomore,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Junior,,,
2019,Winter,D,Female,Senior,,,
2019,Winter,D,Female,Sophomore,,,
2019,Winter,D,Male,Sophomore,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Female,Junior,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Junior,,,
2019,Winter,D,Male,Non-Matriculating,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Female,Freshman,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Sophomore,,,
2019,Winter,D,Female,Freshman,,,
2019,Winter,D,Female,Sophomore,,,
2019,Winter,D,Female,Sophomore,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Female,Sophomore,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Female,Freshman,,,
2019,Winter,D,Male,Senior,,,
2019,Winter,D,Female,Sophomore,,,
2019,Winter,D,Female,Sophomore,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Female,Freshman,,,
2019,Winter,D,Female,Sophomore,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Female,Freshman,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Female,Sophomore,,,
2019,Winter,D,Male,Junior,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Female,Sophomore,,,
2019,Winter,D,Male,Senior,,,
2019,Winter,D,Female,Freshman,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,Female,Freshman,,,
2019,Winter,D,Female,Non-Matriculating,,,
2019,Winter,D,Male,Junior,,,
2019,Winter,D,Male,Freshman,,,
2019,Winter,D,#N/A,#N/A,,,
